version,release_date,artifact_id,service_name
0.10.0-beta,2017-03-17,google-cloud-storage,bigstore
0.11.0-beta,2017-03-31,google-cloud-storage,bigstore
0.11.1-beta,2017-04-03,google-cloud-storage,bigstore
0.11.2-beta,2017-04-05,google-cloud-storage,bigstore
0.12.0-beta,2017-04-07,google-cloud-storage,bigstore
0.13.0-beta,2017-04-13,google-cloud-storage,bigstore
0.3.0,2016-08-31,google-cloud-storage,bigstore
0.4.0,2016-09-29,google-cloud-storage,bigstore
0.5.0,2016-10-29,google-cloud-storage,bigstore
0.5.1,2016-11-04,google-cloud-storage,bigstore
0.6.0,2016-11-15,google-cloud-storage,bigstore
0.7.0,2016-11-24,google-cloud-storage,bigstore
0.8.0-beta,2016-12-08,google-cloud-storage,bigstore
0.8.1-beta,2017-01-09,google-cloud-storage,bigstore
0.8.2-beta,2017-02-01,google-cloud-storage,bigstore
0.8.3-beta,2017-02-03,google-cloud-storage,bigstore
0.9.0-beta,2017-02-12,google-cloud-storage,bigstore
0.9.1-beta,2017-02-14,google-cloud-storage,bigstore
0.9.2-beta,2017-02-14,google-cloud-storage,bigstore
0.9.3-beta,2017-02-22,google-cloud-storage,bigstore
0.9.4-beta,2017-03-06,google-cloud-storage,bigstore
1.0.0,2017-04-26,google-cloud-storage,bigstore
1.0.0-rc1,2017-04-21,google-cloud-storage,bigstore
1.0.0-rc2,2017-04-22,google-cloud-storage,bigstore
1.0.0-rc3,2017-04-25,google-cloud-storage,bigstore
1.0.0-rc4,2017-04-25,google-cloud-storage,bigstore
1.0.1,2017-05-04,google-cloud-storage,bigstore
1.0.2,2017-05-18,google-cloud-storage,bigstore
1.1.0,2017-06-05,google-cloud-storage,bigstore
1.10.0,2017-11-09,google-cloud-storage,bigstore
1.100.0,2019-11-06,google-cloud-storage,bigstore
1.101.0,2019-11-14,google-cloud-storage,bigstore
1.102.0,2019-12-05,google-cloud-storage,bigstore
1.103.0,2020-01-07,google-cloud-storage,bigstore
1.103.1,2020-01-27,google-cloud-storage,bigstore
1.104.0,2020-02-20,google-cloud-storage,bigstore
1.105.0,2020-02-28,google-cloud-storage,bigstore
1.105.1,2020-03-09,google-cloud-storage,bigstore
1.105.2,2020-03-13,google-cloud-storage,bigstore
1.106.0,2020-03-17,google-cloud-storage,bigstore
1.106.1,2021-06-15,google-cloud-storage,bigstore
1.107.0,2020-04-14,google-cloud-storage,bigstore
1.108.0,2020-05-04,google-cloud-storage,bigstore
1.109.0,2020-06-11,google-cloud-storage,bigstore
1.109.1,2020-06-15,google-cloud-storage,bigstore
1.11.0,2017-11-15,google-cloud-storage,bigstore
1.110.0,2020-06-18,google-cloud-storage,bigstore
1.111.0,2020-06-25,google-cloud-storage,bigstore
1.111.1,2020-07-01,google-cloud-storage,bigstore
1.111.2,2020-07-10,google-cloud-storage,bigstore
1.111.3,2021-06-28,google-cloud-storage,bigstore
1.112.0,2020-08-28,google-cloud-storage,bigstore
1.113.0,2020-09-03,google-cloud-storage,bigstore
1.113.1,2020-09-17,google-cloud-storage,bigstore
1.113.10,2021-02-17,google-cloud-storage,bigstore
1.113.11,2021-02-23,google-cloud-storage,bigstore
1.113.12,2021-03-01,google-cloud-storage,bigstore
1.113.13,2021-03-08,google-cloud-storage,bigstore
1.113.14,2021-03-11,google-cloud-storage,bigstore
1.113.14-sp.1,2021-05-11,google-cloud-storage,bigstore
1.113.14-sp.2,2021-09-28,google-cloud-storage,bigstore
1.113.14-sp.3,2021-11-11,google-cloud-storage,bigstore
1.113.14-sp.4,2022-02-17,google-cloud-storage,bigstore
1.113.15,2021-04-13,google-cloud-storage,bigstore
1.113.16,2021-04-26,google-cloud-storage,bigstore
1.113.2,2020-10-26,google-cloud-storage,bigstore
1.113.3,2020-11-10,google-cloud-storage,bigstore
1.113.4,2020-11-16,google-cloud-storage,bigstore
1.113.5,2020-12-08,google-cloud-storage,bigstore
1.113.6,2020-12-10,google-cloud-storage,bigstore
1.113.8,2021-01-05,google-cloud-storage,bigstore
1.113.9,2021-01-13,google-cloud-storage,bigstore
1.114.0,2021-05-13,google-cloud-storage,bigstore
1.115.0,2021-06-01,google-cloud-storage,bigstore
1.116.0,2021-06-15,google-cloud-storage,bigstore
1.117.0,2021-06-28,google-cloud-storage,bigstore
1.117.1,2021-06-30,google-cloud-storage,bigstore
1.118.0,2021-07-13,google-cloud-storage,bigstore
1.118.1,2021-08-06,google-cloud-storage,bigstore
1.12.0,2017-11-16,google-cloud-storage,bigstore
1.13.0,2017-12-08,google-cloud-storage,bigstore
1.14.0,2017-12-12,google-cloud-storage,bigstore
1.15.0,2018-01-18,google-cloud-storage,bigstore
1.16.0,2018-02-05,google-cloud-storage,bigstore
1.17.0,2018-02-21,google-cloud-storage,bigstore
1.18.0,2018-02-27,google-cloud-storage,bigstore
1.19.0,2018-02-27,google-cloud-storage,bigstore
1.2.0,2017-06-15,google-cloud-storage,bigstore
1.2.1,2017-06-27,google-cloud-storage,bigstore
1.2.2,2017-07-17,google-cloud-storage,bigstore
1.2.3,2017-07-19,google-cloud-storage,bigstore
1.20.0,2018-03-06,google-cloud-storage,bigstore
1.21.0,2018-03-14,google-cloud-storage,bigstore
1.22.0,2018-03-16,google-cloud-storage,bigstore
1.23.0,2018-03-22,google-cloud-storage,bigstore
1.24.0,2018-03-27,google-cloud-storage,bigstore
1.24.1,2018-04-02,google-cloud-storage,bigstore
1.25.0,2018-04-05,google-cloud-storage,bigstore
1.26.0,2018-04-16,google-cloud-storage,bigstore
1.27.0,2018-04-19,google-cloud-storage,bigstore
1.28.0,2018-04-27,google-cloud-storage,bigstore
1.29.0,2018-05-07,google-cloud-storage,bigstore
